ID,Var_ID,Name,Description,ord
CARNEIRO4_082-1,CARNEIRO4_082,present,present,1
CARNEIRO4_083-0,CARNEIRO4_083,absent,absent,0
CARNEIRO4_083-1,CARNEIRO4_083,present,present,1
CARNEIRO4_084-0,CARNEIRO4_084,absent,absent,0
CARNEIRO4_084-1,CARNEIRO4_084,present,present,1
CARNEIRO4_085-0,CARNEIRO4_085,absent,absent,0
CARNEIRO4_085-1,CARNEIRO4_085,present,present,1
CARNEIRO4_086-0,CARNEIRO4_086,absent,absent,0
CARNEIRO4_086-1,CARNEIRO4_086,present,present,1
CARNEIRO4_087-0,CARNEIRO4_087,absent,absent,0
CARNEIRO4_087-1,CARNEIRO4_087,present,present,1
CARNEIRO4_088-0,CARNEIRO4_088,absent,absent,0
CARNEIRO4_088-1,CARNEIRO4_088,present,present,1
CARNEIRO4_089-0,CARNEIRO4_089,absent,absent,0
CARNEIRO4_089-1,CARNEIRO4_089,present,present,1
CARNEIRO4_090-0,CARNEIRO4_090,absent,absent,0
CARNEIRO4_090-1,CARNEIRO4_090,present,present,1
CARNEIRO4_091-0,CARNEIRO4_091,absent,absent,0
CARNEIRO4_091-1,CARNEIRO4_091,present,present,1
CARNEIRO4_092-0,CARNEIRO4_092,absent,absent,0
CARNEIRO4_092-1,CARNEIRO4_092,present,present,1
CARNEIRO4_093-0,CARNEIRO4_093,absent,absent,0
CARNEIRO4_093-1,CARNEIRO4_093,present,present,1
CARNEIRO4_094-0,CARNEIRO4_094,absent,absent,0
CARNEIRO4_094-1,CARNEIRO4_094,present,present,1
CARNEIRO4_095-0,CARNEIRO4_095,absent,absent,0
CARNEIRO4_095-1,CARNEIRO4_095,present,present,1
CARNEIRO4_096-0,CARNEIRO4_096,absent,absent,0
CARNEIRO4_096-1,CARNEIRO4_096,present,present,1
CARNEIRO4_097-0,CARNEIRO4_097,absent,absent,0
CARNEIRO4_097-1,CARNEIRO4_097,present,present,1
CARNEIRO4_098-0,CARNEIRO4_098,absent,absent,0
CARNEIRO4_098-1,CARNEIRO4_098,present,present,1
CARNEIRO4_099-0,CARNEIRO4_099,absent,absent,0
CARNEIRO4_099-1,CARNEIRO4_099,present,present,1
CARNEIRO4_100-0,CARNEIRO4_100,absent,absent,0
CARNEIRO4_100-1,CARNEIRO4_100,present,present,1
CARNEIRO4_101-0,CARNEIRO4_101,absent,absent,0
CARNEIRO4_101-1,CARNEIRO4_101,present,present,1
CARNEIRO4_102-0,CARNEIRO4_102,absent,absent,0
CARNEIRO4_102-1,CARNEIRO4_102,present,present,1
CARNEIRO4_103-0,CARNEIRO4_103,absent,absent,0
CARNEIRO4_103-1,CARNEIRO4_103,present,present,1
CARNEIRO4_104-0,CARNEIRO4_104,absent,absent,0
CARNEIRO4_104-1,CARNEIRO4_104,present,present,1
CARNEIRO4_105-0,CARNEIRO4_105,absent,absent,0
CARNEIRO4_105-1,CARNEIRO4_105,present,present,1
CARNEIRO4_106-0,CARNEIRO4_106,absent,absent,0
CARNEIRO4_106-1,CARNEIRO4_106,present,present,1
CARNEIRO4_107-0,CARNEIRO4_107,absent,absent,0
CARNEIRO4_107-1,CARNEIRO4_107,present,present,1
CARNEIRO4_108-0,CARNEIRO4_108,absent,absent,0
CARNEIRO4_108-1,CARNEIRO4_108,present,present,1
CARNEIRO4_109-0,CARNEIRO4_109,absent,absent,0
CARNEIRO4_109-1,CARNEIRO4_109,present,present,1
CARNEIRO4_110-0,CARNEIRO4_110,absent,absent,0
CARNEIRO4_110-1,CARNEIRO4_110,present,present,1
CARNEIRO4_111-0,CARNEIRO4_111,absent,absent,0
CARNEIRO4_111-1,CARNEIRO4_111,present,present,1
CARNEIRO4_112-0,CARNEIRO4_112,absent,absent,0
CARNEIRO4_112-1,CARNEIRO4_112,present,present,1
CARNEIRO4_113-0,CARNEIRO4_113,absent,absent,0
CARNEIRO4_113-1,CARNEIRO4_113,present,present,1
CARNEIRO4_114-0,CARNEIRO4_114,absent,absent,0
CARNEIRO4_114-1,CARNEIRO4_114,present,present,1
CARNEIRO4_115-0,CARNEIRO4_115,absent,absent,0
CARNEIRO4_115-1,CARNEIRO4_115,present,present,1
CARNEIRO4_116-0,CARNEIRO4_116,absent,absent,0
CARNEIRO4_116-1,CARNEIRO4_116,present,present,1
CARNEIRO4_117-0,CARNEIRO4_117,absent,absent,0
CARNEIRO4_117-1,CARNEIRO4_117,present,present,1
CARNEIRO4_118-0,CARNEIRO4_118,absent,absent,0
CARNEIRO4_118-1,CARNEIRO4_118,present,present,1
CARNEIRO4_119-0,CARNEIRO4_119,absent,absent,0
CARNEIRO4_119-1,CARNEIRO4_119,present,present,1
CARNEIRO4_120-0,CARNEIRO4_120,absent,absent,0
CARNEIRO4_120-1,CARNEIRO4_120,present,present,1
CARNEIRO4_121-0,CARNEIRO4_121,absent,absent,0
CARNEIRO4_121-1,CARNEIRO4_121,present,present,1
CARNEIRO4_122-0,CARNEIRO4_122,absent,absent,0
CARNEIRO4_122-1,CARNEIRO4_122,present,present,1
CARNEIRO4_123-0,CARNEIRO4_123,absent,absent,0
CARNEIRO4_123-1,CARNEIRO4_123,present,present,1
CARNEIRO4_124-0,CARNEIRO4_124,absent,absent,0
CARNEIRO4_124-1,CARNEIRO4_124,present,present,1
CARNEIRO4_125-0,CARNEIRO4_125,absent,absent,0
CARNEIRO4_125-1,CARNEIRO4_125,present,present,1
CARNEIRO4_126-0,CARNEIRO4_126,absent,absent,0
CARNEIRO4_126-1,CARNEIRO4_126,present,present,1
CARNEIRO4_127-0,CARNEIRO4_127,absent,absent,0
CARNEIRO4_127-1,CARNEIRO4_127,present,present,1
CARNEIRO4_128-0,CARNEIRO4_128,absent,absent,0
CARNEIRO4_128-1,CARNEIRO4_128,present,present,1
CARNEIRO4_129-0,CARNEIRO4_129,absent,absent,0
CARNEIRO4_129-1,CARNEIRO4_129,present,present,1
CARNEIRO4_130-0,CARNEIRO4_130,absent,absent,0
CARNEIRO4_130-1,CARNEIRO4_130,present,present,1
CARNEIRO4_131-0,CARNEIRO4_131,absent,absent,0
CARNEIRO4_131-1,CARNEIRO4_131,present,present,1
CARNEIRO4_132-0,CARNEIRO4_132,absent,absent,0
CARNEIRO4_132-1,CARNEIRO4_132,present,present,1
CARNEIRO4_133-0,CARNEIRO4_133,absent,absent,0
CARNEIRO4_133-1,CARNEIRO4_133,present,present,1
